scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:58:18 UTC,2017-03-09 12:00:00 UTC,https://www.oddsportal.com/football/h2h/austria-0j2eUlMC/north-macedonia-EXCPojim/#Aonqhgqt,Moravske Budejovice,Decin,2. Liga - Central,4,1,"(1:1, 1:0, 2:0)",,,,[]
2026-05-26 02:58:33 UTC,2021-06-28 12:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/spain-bLyo6mco/#Ox0fdPXa,Croatia,Spain,Euro 2020,3,5,,,,,"[{'1': '6.23', 'X': '3.96', '2': '1.62', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.85', '2': '1.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.90', '2': '1.57', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '6.50', 'X': '3.80', '2': '1.60', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:58:34 UTC,2021-06-27 15:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/portugal-WvJrjFVN/#69gejtbt,Belgium,Portugal,Euro 2020,1,0,"(1:0, 0:0)",Estadio de La Cartuja,Sevilla,Spain,"[{'1': '2.34', 'X': '3.37', '2': '3.26', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.43', 'X': '3.30', '2': '3.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.40', 'X': '3.30', '2': '3.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.38', 'X': '3.40', '2': '3.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:58:50 UTC,2021-06-27 12:00:00 UTC,https://www.oddsportal.com/football/h2h/czech-republic-6LHwBDGU/netherlands-WYintcWb/#61kaeqm6,Netherlands,Czech Republic,Euro 2020,0,2,"(0:0, 0:2)",Puskas Arena,Budapest,Hungary,"[{'1': '1.57', 'X': '4.09', '2': '6.59', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.95', '2': '6.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.00', '2': '6.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.00', '2': '6.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:59:01 UTC,2021-06-26 12:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/wales-YcUP0Nqp/#Eo5Fu7UM,Wales,Denmark,Euro 2020,0,4,"(0:1, 0:3)",,,,"[{'1': '4.97', 'X': '3.18', '2': '1.94', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '4.70', 'X': '3.05', '2': '2.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.50', 'X': '3.10', '2': '1.95', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '4.33', 'X': '3.00', '2': '2.05', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:59:53 UTC,2021-06-23 15:00:00 UTC,https://www.oddsportal.com/football/h2h/france-QkGeVG1n/portugal-WvJrjFVN/#KEMJOu8H,Portugal,France,Euro 2020,2,2,"(1:1, 1:1)",Volksparkstadion,Hamburg,Germany,"[{'1': '4.17', 'X': '3.62', '2': '1.94', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '4.35', 'X': '3.40', '2': '1.93', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.30', '2': '1.95', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.30', '2': '1.91', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '3.36', 'X': '3.38', '2': '2.22', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}]"
2026-05-26 02:59:54 UTC,2021-06-23 15:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/hungary-MTVhw6Go/#nDYSAsoS,Germany,Hungary,Euro 2020,2,2,"(0:1, 2:1)",Puskas Arena,Budapest,Hungary,"[{'1': '1.13', 'X': '10.70', '2': '19.70', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.11', 'X': '10.50', '2': '21.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.11', 'X': '9.50', '2': '19.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.13', 'X': '8.50', '2': '19.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.80', '2': '12.50', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}]"
2026-05-26 02:59:53 UTC,2021-06-23 12:00:00 UTC,https://www.oddsportal.com/football/h2h/poland-2HzmcynI/sweden-OQyqbHWB/#UPT6RsOb,Sweden,Poland,Euro 2020,3,2,"(1:0, 2:2)",,,,"[{'1': '2.96', 'X': '3.70', '2': '2.37', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.35', '2': '2.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.40', '2': '2.40', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.00', 'X': '3.25', '2': '2.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.57', 'X': '3.40', '2': '2.75', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}]"
2026-05-26 03:00:10 UTC,2021-06-23 12:00:00 UTC,https://www.oddsportal.com/football/h2h/slovakia-KpLb2q1U/spain-bLyo6mco/#0dWGDq19,Slovakia,Spain,Euro 2020,0,5,"(0:2, 0:3)",Estadio de La Cartuja,Sevilla,Spain,"[{'1': '18.30', 'X': '6.99', '2': '1.20', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '16.00', 'X': '7.50', '2': '1.18', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '17.00', 'X': '6.50', '2': '1.18', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '13.00', 'X': '6.50', '2': '1.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '14.00', 'X': '6.95', '2': '1.21', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}]"
2026-05-26 03:00:10 UTC,2021-06-22 15:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/scotland-fZRU25WH/#CzfQjMgd,Croatia,Scotland,Euro 2020,3,1,"(1:1, 2:0)",Hampden Park,Glasgow,Scotland,"[{'1': '2.35', 'X': '3.89', '2': '2.86', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.95', '2': '2.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.80', '2': '2.60', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.40', 'X': '3.75', '2': '2.70', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.56', '2': '4.16', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}]"
