tournament,home_team,away_team,home_key,away_key,match_date,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away,odds_source,bookmaker
UEFA Euro 2020,England,Denmark,england,denmark,2021-07-07 15:00:00+00:00,1.72,3.5,5.5,0.5542758422113446,0.2723869853152893,0.17333717247336597,oddsportal,bet365_or_avg
UEFA Euro 2020,Italy,Spain,italy,spain,2021-07-06 15:00:00+00:00,2.5,3.1,3.1,0.3827160493827161,0.30864197530864196,0.30864197530864196,oddsportal,bet365_or_avg
UEFA Euro 2020,Ukraine,England,ukraine,england,2021-07-03 15:00:00+00:00,7.5,4.0,1.5,0.126984126984127,0.23809523809523814,0.634920634920635,oddsportal,bet365_or_avg
UEFA Euro 2020,Czech Republic,Denmark,czech republic,denmark,2021-07-03 12:00:00+00:00,4.0,3.0,2.15,0.23844731977818856,0.3179297597042514,0.44362292051756014,oddsportal,bet365_or_avg
UEFA Euro 2020,Belgium,Italy,belgium,italy,2021-07-02 15:00:00+00:00,3.4,3.2,2.25,0.27982899339292655,0.29731830547998445,0.42285270112708895,oddsportal,bet365_or_avg
UEFA Euro 2020,Switzerland,Spain,switzerland,spain,2021-07-02 12:00:00+00:00,5.75,3.9,1.61,0.16540442290215088,0.24386549530445326,0.5907300817933959,oddsportal,bet365_or_avg
UEFA Euro 2020,Sweden,Ukraine,sweden,ukraine,2021-06-29 15:00:00+00:00,2.3,3.2,3.3,0.41395531164249316,0.2975303802430419,0.2885143081144649,oddsportal,bet365_or_avg
UEFA Euro 2020,England,Germany,england,germany,2021-06-29 12:00:00+00:00,2.37,3.3,3.1,0.4027876210725254,0.2892747460429956,0.3079376328844791,oddsportal,bet365_or_avg
UEFA Euro 2020,France,Switzerland,france,switzerland,2021-06-28 15:00:00+00:00,1.6,3.8,6.0,0.5925155925155925,0.24948024948024947,0.15800415800415799,oddsportal,bet365_or_avg
UEFA Euro 2020,Croatia,Spain,croatia,spain,2021-06-28 12:00:00+00:00,6.5,3.9,1.57,0.14691203992514038,0.24485339987523397,0.6082345601996257,oddsportal,bet365_or_avg
UEFA Euro 2020,Belgium,Portugal,belgium,portugal,2021-06-27 15:00:00+00:00,2.4,3.3,3.0,0.3956834532374101,0.2877697841726619,0.31654676258992803,oddsportal,bet365_or_avg
UEFA Euro 2020,Netherlands,Czech Republic,netherlands,czech republic,2021-06-27 12:00:00+00:00,1.57,4.0,6.0,0.6045340050377834,0.23727959697732998,0.15818639798488665,oddsportal,bet365_or_avg
UEFA Euro 2020,Wales,Denmark,wales,denmark,2021-06-26 12:00:00+00:00,4.5,3.1,1.95,0.21011470281543268,0.30500521376433776,0.48488008342022937,oddsportal,bet365_or_avg
UEFA Euro 2020,Portugal,France,portugal,france,2021-06-23 15:00:00+00:00,4.2,3.3,1.95,0.22590837282780407,0.287519747235387,0.48657187993680884,oddsportal,bet365_or_avg
UEFA Euro 2020,Germany,Hungary,germany,hungary,2021-06-23 15:00:00+00:00,1.11,9.5,19.0,0.850873264666368,0.09941782355575458,0.04970891177787729,oddsportal,bet365_or_avg
UEFA Euro 2020,Sweden,Poland,sweden,poland,2021-06-23 12:00:00+00:00,3.0,3.4,2.4,0.31924882629107976,0.28169014084507044,0.39906103286384975,oddsportal,bet365_or_avg
UEFA Euro 2020,Slovakia,Spain,slovakia,spain,2021-06-23 12:00:00+00:00,17.0,6.5,1.18,0.05548723142588439,0.1451204514215438,0.7993923171525718,oddsportal,bet365_or_avg
UEFA Euro 2020,Croatia,Scotland,croatia,scotland,2021-06-22 15:00:00+00:00,2.45,3.8,2.6,0.3865414710485133,0.2492175273865415,0.3642410015649452,oddsportal,bet365_or_avg
UEFA Euro 2020,Czech Republic,England,czech republic,england,2021-06-22 15:00:00+00:00,7.5,4.33,1.45,0.12650996907019152,0.21912812194605918,0.6543619089837492,oddsportal,bet365_or_avg
UEFA Euro 2020,Finland,Belgium,finland,belgium,2021-06-21 15:00:00+00:00,9.0,4.75,1.36,0.10512611879576893,0.19918633034987795,0.6956875508543532,oddsportal,bet365_or_avg
UEFA Euro 2020,Russia,Denmark,russia,denmark,2021-06-21 15:00:00+00:00,5.5,4.2,1.57,0.1720368389470114,0.22528633671632445,0.6026768243366641,oddsportal,bet365_or_avg
UEFA Euro 2020,Ukraine,Austria,ukraine,austria,2021-06-21 12:00:00+00:00,3.9,2.1,3.1,0.2430011198208287,0.4512877939529675,0.3057110862262038,oddsportal,bet365_or_avg
UEFA Euro 2020,North Macedonia,Netherlands,north macedonia,netherlands,2021-06-21 12:00:00+00:00,13.0,6.5,1.22,0.07322929171668667,0.14645858343337334,0.78031212484994,oddsportal,bet365_or_avg
UEFA Euro 2020,Italy,Wales,italy,wales,2021-06-20 12:00:00+00:00,1.45,4.0,8.5,0.6522781774580336,0.23645083932853717,0.11127098321342925,oddsportal,bet365_or_avg
UEFA Euro 2020,Switzerland,Turkey,switzerland,turkey,2021-06-20 12:00:00+00:00,1.57,4.5,5.0,0.6013630896699185,0.2098089001737271,0.18882801015635442,oddsportal,bet365_or_avg
UEFA Euro 2020,Spain,Poland,spain,poland,2021-06-19 15:00:00+00:00,1.28,5.75,11.0,0.7468414216554493,0.1662533947337348,0.08690518361081592,oddsportal,bet365_or_avg
UEFA Euro 2020,Portugal,Germany,portugal,germany,2021-06-19 12:00:00+00:00,3.3,3.4,2.2,0.288135593220339,0.2796610169491525,0.43220338983050843,oddsportal,bet365_or_avg
UEFA Euro 2020,Hungary,France,hungary,france,2021-06-19 09:00:00+00:00,13.0,5.5,1.25,0.0726552179656539,0.17173051519154556,0.7556142668428005,oddsportal,bet365_or_avg
UEFA Euro 2020,England,Scotland,england,scotland,2021-06-18 15:00:00+00:00,1.3,5.25,11.0,0.7321711568938194,0.18129952456418386,0.08652931854199684,oddsportal,bet365_or_avg
UEFA Euro 2020,Croatia,Czech Republic,croatia,czech republic,2021-06-18 12:00:00+00:00,2.2,3.25,3.5,0.4337464251668255,0.29361296472831266,0.27264061010486174,oddsportal,bet365_or_avg
UEFA Euro 2020,Sweden,Slovakia,sweden,slovakia,2021-06-18 09:00:00+00:00,1.9,3.2,4.75,0.5015673981191222,0.29780564263322884,0.20062695924764887,oddsportal,bet365_or_avg
UEFA Euro 2020,Netherlands,Austria,netherlands,austria,2021-06-17 15:00:00+00:00,1.6,3.8,6.0,0.5925155925155925,0.24948024948024947,0.15800415800415799,oddsportal,bet365_or_avg
UEFA Euro 2020,Denmark,Belgium,denmark,belgium,2021-06-17 12:00:00+00:00,4.33,3.3,1.95,0.22062226793520184,0.2894831576240679,0.4898945744407303,oddsportal,bet365_or_avg
UEFA Euro 2020,Ukraine,North Macedonia,ukraine,north macedonia,2021-06-17 09:00:00+00:00,1.8,3.6,4.75,0.5322128851540617,0.26610644257703087,0.20168067226890757,oddsportal,bet365_or_avg
UEFA Euro 2020,Italy,Switzerland,italy,switzerland,2021-06-16 15:00:00+00:00,1.66,3.6,5.75,0.5714916760995002,0.26352116175699175,0.16498716214350787,oddsportal,bet365_or_avg
UEFA Euro 2020,Turkey,Wales,turkey,wales,2021-06-16 12:00:00+00:00,2.8,3.1,2.75,0.3423007428227264,0.30917486448504317,0.3485243926922305,oddsportal,bet365_or_avg
UEFA Euro 2020,Finland,Russia,finland,russia,2021-06-16 09:00:00+00:00,6.5,3.9,1.57,0.14691203992514038,0.24485339987523397,0.6082345601996257,oddsportal,bet365_or_avg
UEFA Euro 2020,France,Germany,france,germany,2021-06-15 15:00:00+00:00,2.87,3.3,2.5,0.3313785347043702,0.28819890745501286,0.380422557840617,oddsportal,bet365_or_avg
