scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-05-26 02:46:51 UTC,2018-07-02 10:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/mexico-O6iHcNkd/#AgM0qBr2,Brazil,Mexico,World Cup 2018,2,0,"(0:0, 2:0)",Kyle Field,"College Station, TX",USA,"[{'1': '1.47', 'X': '4.36', '2': '7.90', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.35', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.40', '2': '7.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.33', '2': '7.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:46:52 UTC,2018-07-01 14:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/denmark-0KUdxQVi/#vquzagAh,Croatia,Denmark,World Cup 2018,2,1,"0:0, 2:1",Stadion Maksimir,Zagreb,Croatia,"[{'1': '1.85', 'X': '3.26', '2': '5.20', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.15', '2': '4.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.30', '2': '4.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.25', '2': '4.75', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:00 UTC,2018-06-28 14:00:00 UTC,https://www.oddsportal.com/football/h2h/panama-OWKqbCfi/tunisia-QqZVYk95/#4MSuccd2,Panama,Tunisia,World Cup 2018,1,2,"(1:0, 0:2)",Mordovia Arena,Saransk,Russia,"[{'1': '4.72', 'X': '3.76', '2': '1.79', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '4.25', 'X': '3.70', '2': '1.83', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.33', 'X': '3.80', '2': '1.86', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.60', '2': '1.91', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:09 UTC,2018-06-26 14:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/nigeria-EBE2Xb3l/#Ywh7dQ5i,Nigeria,Argentina,World Cup 2018,1,2,"(0:1, 1:1)",Los Angeles Memorial Coliseum,"Los Angeles, CA",USA,"[{'1': '6.60', 'X': '5.15', '2': '1.44', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.60', 'X': '5.10', '2': '1.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.00', 'X': '5.25', '2': '1.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '6.00', 'X': '5.00', '2': '1.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:09 UTC,2018-06-25 10:00:00 UTC,https://www.oddsportal.com/football/h2h/russia-hrgrswHh/uruguay-xMk44orG/#Im3jVm7h,Uruguay,Russia,World Cup 2018,3,0,"(2:0, 1:0)",Samara Arena,Samara,Russia,"[{'1': '3.06', 'X': '3.06', '2': '2.61', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.63', 'X': '3.00', '2': '2.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.10', '2': '2.90', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.00', '2': '3.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:18 UTC,2018-06-26 10:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/france-QkGeVG1n/#QXUut5LA,Denmark,France,World Cup 2018,0,0,"(0:0, 0:0)",Stadium 974,Doha,Qatar,"[{'1': '6.45', 'X': '2.72', '2': '1.95', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.10', 'X': '2.75', '2': '2.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.75', 'X': '2.75', '2': '2.04', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.50', 'X': '2.75', '2': '2.05', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:26 UTC,2018-06-27 14:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/serbia-8Kl6iq0i/#8GnWjMZS,Serbia,Brazil,World Cup 2018,0,2,"(0:1, 0:1)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '8.50', 'X': '4.72', '2': '1.41', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '7.50', 'X': '4.50', '2': '1.44', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.75', 'X': '4.75', '2': '1.44', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.75', '2': '1.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:26 UTC,2018-06-26 10:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/peru-Uend67D3/#4OTquPzH,Australia,Peru,World Cup 2018,0,2,"(0:1, 0:1)",Ahmad bin Ali Stadium,Al Rayyan,Qatar,"[{'1': '3.16', 'X': '3.56', '2': '2.28', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.45', '2': '2.38', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.87', 'X': '3.60', '2': '2.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.88', 'X': '3.50', '2': '2.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:35 UTC,2018-06-20 14:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/spain-bLyo6mco/#A18AQPLN,Iran,Spain,World Cup 2018,0,1,"(0:0, 0:1)",Ak Bars Arena,Kazan,Russia,"[{'1': '22.00', 'X': '6.90', '2': '1.18', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '19.00', 'X': '6.50', '2': '1.18', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '19.00', 'X': '7.00', '2': '1.20', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '17.00', 'X': '6.00', '2': '1.22', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:43 UTC,2018-06-24 14:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/poland-2HzmcynI/#jHJcn1as,Poland,Colombia,World Cup 2018,0,3,"(0:1, 0:2)",Ak Bars Arena,Kazan,Russia,"[{'1': '3.56', 'X': '3.46', '2': '2.13', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.45', 'X': '3.40', '2': '2.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.60', 'X': '3.50', '2': '2.14', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.40', 'X': '3.50', '2': '2.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:43 UTC,2018-07-03 14:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/england-j9N9ZNFA/#WIa8xROI,Colombia,England,World Cup 2018,1,2,"0:0, 1:1, 0:0, 3:4",Lukoil Arena,Moscow,Russia,"[{'1': '4.16', 'X': '3.07', '2': '2.13', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '4.00', 'X': '3.05', '2': '2.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.10', '2': '2.14', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '4.00', 'X': '3.10', '2': '2.15', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:47:52 UTC,2018-07-02 14:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/japan-ULXPdOUj/#xd04w79C,Belgium,Japan,World Cup 2018,3,2,"(0:0, 3:2)",Rostov Arena,Rostov,Russia,"[{'1': '1.37', 'X': '4.76', '2': '10.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.41', 'X': '4.50', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.80', '2': '9.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.75', '2': '7.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
2026-05-26 02:48:01 UTC,2018-07-03 10:00:00 UTC,https://www.oddsportal.com/football/h2h/sweden-OQyqbHWB/switzerland-rHJ2vy1B/#Cb0q8fL2,Sweden,Switzerland,World Cup 2018,1,0,"(0:0, 1:0)",Stade de Genve,Geneva,Switzerland,"[{'1': '3.36', 'X': '2.92', '2': '2.52', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.20', 'X': '2.90', '2': '2.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.40', 'X': '2.95', '2': '2.54', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.30', 'X': '2.90', '2': '2.60', 'bookmaker_name': 'Betway', 'period': 'FullTime'}]"
